LeaveOn,HR,RE,Rress,SDATA,RPK,RPKHD,SwSD
0,59,16.1,3255,1034,18068,0,18
0,59,16.1,3260,1137,17442,0,21
0,59,16.1,3268,1069,16522,0,24
0,59,16.1,3265,1109,16875,0,9
0,59,16.1,3258,1194,15559,0,11
0,59,16.1,3267,1100,16836,0,25
0,59,16.1,3270,989,15860,0,22
0,59,16.6,3271,949,17035,0,16
0,59,16.8,3262,903,16627,0,5
0,59,16.8,3265,852,16627,0,16
0,59,16.7,3274,975,12686,0,18
0,59,16.6,3275,953,14307,0,22
0,59,16.4,3266,946,12879,0,23
0,58,16.2,3266,1000,14830,0,28
0,58,16,3275,997,13986,0,14
0,57,15.8,3275,937,16829,0,11
0,57,15.7,3266,978,14796,0,25
0,57,15.7,3270,988,16586,0,15
0,57,15.7,3278,933,14101,0,7
0,57,15.7,3276,973,16466,0,11
0,57,15.7,3268,1027,15222,0,9
0,57,15.4,3278,1009,16574,0,14
0,57,15.2,3282,914,16362,0,19
0,57,15.1,3282,981,17113,0,26
0,57,15.2,3275,1109,16590,0,11
0,57,15.3,3269,1090,16590,0,14
0,57,15.4,3280,1506,11472,0,20
0,57,15.4,3284,1592,13196,0,13
0,57,15.4,3278,1132,9789,0,13
0,57,15.4,3270,908,13386,0,16
0,57,15.4,3282,907,12843,0,12
0,57,15.5,3286,903,16033,0,7
0,57,15.6,3287,811,14713,0,5
0,58,15.4,3278,786,16278,0,10
0,58,15.1,3276,946,16233,0,29
0,58,15,3281,1041,12345,0,11
0,58,14.9,3286,941,12351,0,10
0,58,14.7,3284,855,8620,0,16
0,58,14.6,3274,1014,12777,0,22
0,58,14.6,3284,1058,11908,0,17
0,58,14,3288,857,16052,0,12
0,58,13.7,3282,1085,15672,0,24
0,58,13.5,3276,1140,17726,0,19
0,58,13.4,3287,890,17764,0,22
0,59,13.6,3290,790,18452,0,16
0,59,13.8,3286,1039,18452,0,13
0,59,14,3279,1131,16361,0,11
0,59,14.2,3280,1113,16193,0,11
0,59,14.4,3290,1066,12095,0,8
0,59,14.5,3294,1012,11521,0,12
0,59,14.6,3286,1195,12826,0,10
0,59,14.6,3279,1125,13855,0,22
0,59,14.6,3289,1116,11253,0,12
0,59,14.6,3294,1959,15467,0,12
0,59,14.6,3287,2318,11480,0,18
0,59,14.7,3280,1597,15578,0,12
0,58,14.8,3285,932,15532,0,17
0,58,14.6,3291,1089,15562,0,21
0,59,14.4,3296,1027,15444,0,9
0,59,14.3,3290,911,15127,0,7
0,60,14.3,3283,981,15198,0,9
0,60,14.3,3285,1181,9861,0,19
0,60,14.2,3294,1040,12707,0,7
0,60,14.1,3298,816,7328,0,6
0,60,14.1,3290,1049,13446,0,18
0,59,13.9,3282,1106,13721,0,13
0,59,13.8,3290,998,11248,0,8
0,59,13.5,3296,915,14719,0,15
0,59,13.3,3299,910,9123,0,5
0,59,13.1,3289,926,14846,0,8
0,59,13,3286,951,14846,0,12
0,59,12.9,3293,934,11432,0,12
0,59,12.7,3298,877,13899,14087,8
0,59,12.6,3298,2075,7861,14087,9
0,59,12.6,3290,2328,13477,14087,8
0,58,12.4,3283,1435,13396,13753,16
0,58,12.3,3293,962,12374,13708,10
0,58,12.4,3297,878,13280,13643,8
0,58,12.4,3296,978,10838,13579,7
0,58,12.4,3292,971,13485,13525,17
0,58,12.4,3292,1157,12098,13395,17
0,58,12.4,3298,1487,13157,13392,20
0,58,12.4,3301,1289,13005,13270,11
0,58,12.4,3294,1142,15458,13270,11
0,58,12.4,3287,1150,16245,13270,23
0,58,12.4,3292,974,12735,13270,14
0,58,12.4,3299,922,14595,13270,9
0,58,12.4,3302,880,9324,13229,12
0,58,12.6,3293,1086,13120,13229,18
0,58,12.7,3291,1044,13114,13229,11
0,58,12.7,3298,965,11733,13229,18
0,58,12.7,3303,974,14844,13229,13
0,58,12.7,3293,977,12173,13082,13
0,58,12.8,3290,1084,15271,13082,17
0,58,12.8,3299,1010,14150,13082,22
0,58,12.9,3304,928,15625,13082,10
0,58,13,3300,1143,14036,13082,6
0,58,13,3292,1136,15238,13229,17
0,58,13,3291,1017,14609,13230,12
0,58,13,3300,1049,13296,13270,9
0,58,13,3306,916,12257,13270,14
0,58,13.4,3300,1006,12683,13230,6
0,58,13.5,3294,1027,13590,13229,12
0,58,13.6,3298,1108,9897,13082,11
0,58,13.7,3308,1070,14114,13016,11
0,58,13.7,3304,1060,11051,12939,11
0,58,13.7,3296,1149,14565,12939,13
